COURSECODE,COURSETITLE,DELIVERY,CLASSNUM,STATUS,DURATION,STUMAX,PRICE,CATEGORY,SUBCATEGORY
CL213,DB2 10 for LUW: Basic Administration for AIX,CLASSROOM,M9Y7,Available           ,4,8,2680,"Data Management for Linux, UNIX, and Windows","DB2 for Linux, UNIX, and Windows"
CL2X3,DB2 10 for LUW: Basic Administration for Linux and Windows,CLASSROOM,M9Y9,Available           ,4,8,2680,"Data Management for Linux, UNIX, and Windows","DB2 for Linux, UNIX, and Windows"
SSF50,IBM DS8000 Copy Services for Open Systems,CLASSROOM,JY06,Available           ,4,12,3855,IBM Storage and Storage Networking,Storage
SSF50,IBM DS8000 Copy Services for Open Systems,CLASSROOM,N30P,Available           ,4,12,3855,IBM Storage and Storage Networking,Storage
AS240,System Operator Workshop for IBM i,CLASSROOM,M3C6,Available           ,4,8,3500,IBM System i,System Operations
GDPS1,GDPS/PPRC Implementation Workshop,CLASSROOM,K9T0,Available           ,5,16,3900,"IBM System z (z/OS, z/VM, Linux)",Parallel Sysplex
SN712,Storage Area Networking Fundamentals,CLASSROOM,MY74,Available           ,4.5,8,3625,IBM Storage and Storage Networking,Storage Networking and Storage Virtualization
VE400,"Accelerate, Secure and Integrate with IBM DataPower V4.0.1 (Remote Classroom)",CLASSROOM,MY45,Available           ,5,12,3875,Service-oriented architecture (SOA),WebSphere DataPower SOA Appliances
WPL43,Developing websites using IBM Web Content Manager 8,CLASSROOM,M3F8,Standby             ,5,8,3500,WebSphere Portal,IBM Websphere Portal 7.0
WU503,Mobile Application Development with IBM Worklight V5 - Early Education,CLASSROOM,MY10,Available           ,5,12,3875,IBM Mobile Enterprise,IBM Worklight
AN100,UNIX / AIX Basics,CLASSROOM,M9X5,Available           ,4,8,2825,"IBM System p, AIX, and UNIX",AIX System Administration
KM400,IBM InfoSphere Advanced DataStage V8,CLASSROOM,M90B,Available           ,4,8,3400,Information Integration,InfoSphere DataStage
KM400,IBM InfoSphere Advanced DataStage V8,CLASSROOM,M90A,Available           ,4,8,3400,Information Integration,InfoSphere DataStage
WM204,IBM WebSphere MQ V7.1 System Administration (using Windows for labs),CLASSROOM,MY90,Available           ,4,8,2900,Application Integration,WebSphere MQ
WM206,IBM WebSphere MQ V7.1 System Administration (using Linux for labs),CLASSROOM,MY92,Available           ,4,8,2900,Application Integration,WebSphere MQ
TP402,IBM Tivoli Endpoint Manager 8.2 Platform Fundamentals,CLASSROOM,MY93,Available           ,3,8,2400,Tivoli Service Delivery and Process Automation,Tivoli Endpoint Manager
0A042,Clustering and Association Models with IBM SPSS Modeler - ILT,CLASSROOM,M3U4,Available           ,1,8,700,SPSS,Modeler Intermediate
6L224,Programming Essentials for IBM WebSphere Commerce V7 Customization (Remote),CLASSROOM,MY05,Available           ,5,12,3875,WebSphere Commerce,WebSphere Commerce Development and Customization
6L632,IBM Sterling B2B Integrator Advanced Business Process Modeling (ILO),CLASSROOM,M29W,Available           ,2,8,1500,B2B Integration,IBM Sterling B2B Integrator
6T710,IBM Sterling Connect:Direct for Microsoft Windows Fundamentals,CLASSROOM,M29Y,Available           ,3,8,2325,Managed File Transfer,Sterling Connect:Direct
8W103,IBM Tivoli Access Manager for e-business 6.1.1 Administration/Deployment (ILO),CLASSROOM,N161,Available           ,4,12,3000,Security Systems,Identity and Access Management
9T331,Introduction to IBM Unica Campaign 8.6,CLASSROOM,M28G,Available           ,3,8,2250,Cross Channel Campaign Management,Unica Campaign
AN100,UNIX / AIX Basics,CLASSROOM,M30V,Available           ,4,8,2825,"IBM System p, AIX, and UNIX",AIX System Administration
AN120,Power Systems for AIX II: AIX Implementation and Administration,CLASSROOM,MY83,Available           ,5,8,3775,"IBM System p, AIX, and UNIX",AIX System Administration
AN120,Power Systems for AIX II: AIX Implementation and Administration,CLASSROOM,MY84,Available           ,5,8,3775,"IBM System p, AIX, and UNIX",AIX System Administration
AN510,Power Systems for AIX IV: Performance Management,CLASSROOM,M3I8,Available           ,5,8,4195,"IBM System p, AIX, and UNIX",AIX System Administration
AN610,"PowerHA 7 Planning, Implementing, Customizing and Administration",CLASSROOM,M3I5,Available           ,5,8,3975,"IBM System p, AIX, and UNIX",AIX High Availability
CL2X3,DB2 10 for LUW: Basic Administration for Linux and Windows,CLASSROOM,N53J,Available           ,4,8,2680,"Data Management for Linux, UNIX, and Windows","DB2 for Linux, UNIX, and Windows"
CL484,"DB2 10.1 for Linux, UNIX, and Windows Quickstart for Experienced Relational DBAs",CLASSROOM,M3D2,Available           ,4,8,2680,"Data Management for Linux, UNIX, and Windows","DB2 for Linux, UNIX, and Windows"
D8L51,Fundamentals of IBM Lotus Domino 8.5.1 Application Development,CLASSROOM,M3F1,Available           ,5,8,3000,Lotus,IBM Notes and Domino 8.5.x
F1440,IBM FileNet BPM 5.0: Administration,CLASSROOM,M3W9,Available           ,4,8,3000,Enterprise Content Management,FileNet Business Process Manager
KM400,IBM InfoSphere Advanced DataStage V8,CLASSROOM,M31A,Available           ,4,8,3400,Information Integration,InfoSphere DataStage
NGT11,IBM PureFlex System Fundamentals,CLASSROOM,M28Z,Available           ,3,8,1995,IBM System x,Technical
OL520,Hardware Management Console (HMC) for Power System with IBM i,CLASSROOM,MZ00,Available           ,2,8,1950,IBM System i,System Operations
OL520,Hardware Management Console (HMC) for Power System with IBM i,CLASSROOM,MY99,Available           ,2,8,1950,IBM System i,System Operations
P8152,IBM Cognos TM1: Design and Develop Models (V10.1),CLASSROOM,MZ02,Available           ,5,8,3500,Cognos,PM - Cognos TM1 (version 10.1)
P8152,IBM Cognos TM1: Design and Develop Models (V10.1),CLASSROOM,MZ01,Available           ,5,8,3500,Cognos,PM - Cognos TM1 (version 10.1)
QN118,Customizing DOORS Using DXL V9.3,CLASSROOM,MZ04,Available           ,2,8,1400,Rational Software,Requirements definition and management
QN118,Customizing DOORS Using DXL V9.3,CLASSROOM,MZ03,Available           ,2,8,1400,Rational Software,Requirements definition and management
RTB02,Functional and Performance Testing Boot Camp,CLASSROOM,MY26,Available           ,5,12,3000,Rational Software,Quality management
SN781,Supporting IBM N series,CLASSROOM,MY75,Available           ,5,8,3625,IBM Storage and Storage Networking,Storage Networking and Storage Virtualization
SN781,Supporting IBM N series,CLASSROOM,MY76,Available           ,5,8,3625,IBM Storage and Storage Networking,Storage Networking and Storage Virtualization
SNV10,SAN Volume Controller (SVC) V6 Planning and Implementation Workshop,CLASSROOM,M3Z4,Available           ,4,8,3315,IBM Storage and Storage Networking,Storage Networking and Storage Virtualization
STL85,Deploying and Administering Lotus Sametime 8.5.1,CLASSROOM,M020,Available           ,2,10,1200,Lotus,IBM Lotus Sametime
TN033,IBM Tivoli Netcool/OMNIbus 7.3 Administration and Maintenance,CLASSROOM,M3B7,Available           ,4,8,2400,Tivoli Network Service Assurance,Netcool/OMNIbus
TP350,IBM SmartCloud Control Desk 7.5 Foundations,CLASSROOM,MZ23,Available           ,2,8,1500,Tivoli Service Delivery and Process Automation,Service Automation Manager
TR571,IBM Maximo Asset Management 7.5 Fundamentals,CLASSROOM,M3A7,Available           ,4,8,2600,Tivoli Asset Management,Maximo Asset Management
TS612,IBM Tivoli Storage Manager 6.3 Implementation and Administration,CLASSROOM,MZ07,Available           ,5,8,3250,Tivoli Storage Management,Storage Manager
TSX12,IBM Tivoli Storage Manager 6.3 Implementation and Administration (AIX),CLASSROOM,MZ09,Available           ,5,8,3250,Tivoli Storage Management,Storage Manager
TV354,IBM Tivoli Monitoring 6.2.3 for Implementers,CLASSROOM,M289,Available           ,3,8,1800,Tivoli Service Availability and Performance Management,Monitoring
WA170,IBM WebSphere Application Server V7 Administration on AIX,CLASSROOM,M27W,Available           ,5,8,3625,WebSphere Application Server,Administration for distributed systems
WA380,WebSphere Application Server V8 Administration for Windows,CLASSROOM,MZ11,Available           ,5,8,3625,WebSphere Application Server,Administration for distributed systems
